,orderId,session,duration,orderType,instrument,instruction,quantity,quantity,filledQuantity,status,enteredTime
115,1898273338,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G1151C101', 'symbol': 'ACN'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:08:20+0000
116,1898273281,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '882508104', 'symbol': 'TXN'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:54:24+0000
117,1898273280,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '855244109', 'symbol': 'SBUX'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:54:24+0000
118,1898273283,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '92826C839', 'symbol': 'V'}",BUY,3.0,3.0,0.0,REJECTED,2021-01-10T15:54:25+0000
119,1898273282,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '91324P102', 'symbol': 'UNH'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:54:25+0000
120,1898273293,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '084670702', 'symbol': 'BRK.B'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:04:18+0000
121,1898273292,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '110122108', 'symbol': 'BMY'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:04:17+0000
122,1898273295,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '438516106', 'symbol': 'HON'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:04:19+0000
123,1898273294,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '254687106', 'symbol': 'DIS'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:04:18+0000
124,1898273289,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G1151C101', 'symbol': 'ACN'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:04:16+0000
125,1898273291,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '038222105', 'symbol': 'AMAT'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:04:17+0000
126,1898273290,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '053015103', 'symbol': 'ADP'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:04:16+0000
